City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,24.5,83,20,6.17,ZA,1678198832
1,busselton,-33.65,115.3333,18.97,46,0,7.59,AU,1678199016
2,mogadishu,2.0371,45.3438,27.64,77,100,9.29,SO,1678198858
3,maralal,1.0968,36.698,25.35,28,52,8.14,KE,1678199019
4,butaritari,3.0707,172.7902,27.03,80,98,5.39,KI,1678199020
5,narsaq,60.9167,-46.05,1.12,83,47,1.05,GL,1678199021
6,broken hill,-31.95,141.4333,18.34,40,0,6.21,AU,1678199022
7,carballo,43.213,-8.691,16.59,74,100,5.54,ES,1678199023
8,boralday,43.3578,76.8594,11.92,71,75,5.0,KZ,1678199024
9,burla,21.5,83.8667,28.41,28,0,2.26,IN,1678199027
10,isilkul,54.9109,71.2728,-3.78,95,100,6.59,RU,1678199028
11,rikitea,-23.1203,-134.9692,24.26,86,100,9.94,PF,1678199029
12,carnarvon,-24.8667,113.6333,26.13,69,0,8.86,AU,1678199030
13,ushuaia,-54.8,-68.3,9.81,46,20,5.66,AR,1678198821
14,cherskiy,68.75,161.3,-36.59,98,85,1.0,RU,1678198823
15,isangel,-19.55,169.2667,24.4,77,36,4.28,VU,1678199034
16,paita,-5.0892,-81.1144,24.14,84,100,1.93,PE,1678199035
17,avarua,-21.2078,-159.775,28.03,89,40,6.17,CK,1678199037
18,half moon bay,37.4636,-122.4286,6.98,91,75,2.57,US,1678199038
19,saskylakh,71.9167,114.0833,-27.7,97,99,3.36,RU,1678199040
20,belyy yar,53.6039,91.3903,-0.06,65,0,6.0,RU,1678199041
21,burgeo,47.6167,-57.6152,-2.2,78,100,6.25,CA,1678199042
22,tuktoyaktuk,69.4541,-133.0374,-32.0,75,0,5.14,CA,1678199043
23,atuona,-9.8,-139.0333,26.18,75,60,5.58,PF,1678199044
24,kapaa,22.0752,-159.319,22.99,85,75,2.57,US,1678199046
25,katangli,51.7102,143.2326,-12.08,92,28,4.7,RU,1678199047
26,vaini,-21.2,-175.2,23.09,88,75,1.54,TO,1678199048
27,punta arenas,-53.15,-70.9167,10.06,53,20,8.75,CL,1678198895
28,mehamn,71.0357,27.8492,-10.03,73,50,4.63,NO,1678199050
29,la rioja,42.25,-2.5,11.88,59,81,4.61,ES,1678199052
30,puerto ayora,-0.7393,-90.3518,28.98,100,88,2.24,EC,1678199053
31,sao filipe,14.8961,-24.4956,24.46,68,0,4.31,CV,1678199054
32,tasiilaq,65.6145,-37.6368,-5.91,81,64,5.42,GL,1678199055
33,provideniya,64.3833,-173.3,-10.84,95,100,5.71,RU,1678199059
34,katsuura,35.1333,140.3,12.67,63,0,1.8,JP,1678199060
35,binga,-17.6203,27.3414,30.41,54,67,2.62,ZW,1678199061
36,jacareacanga,-6.2222,-57.7528,26.51,83,100,1.29,BR,1678199062
37,jamestown,42.097,-79.2353,-0.55,86,0,5.66,US,1678199065
38,rudnichnyy,59.617,52.4703,-6.12,95,100,1.67,RU,1678199066
39,dikson,73.5069,80.5464,-35.0,98,86,4.34,RU,1678199067
40,tecoanapa,16.5167,-98.75,23.72,75,77,1.51,MX,1678199068
41,north bend,43.4065,-124.2243,3.29,99,100,2.57,US,1678199069
42,east london,-33.0153,27.9116,23.52,83,40,5.14,ZA,1678198858
43,yantal,56.8471,105.2542,-2.6,93,100,5.13,RU,1678199071
44,hermanus,-34.4187,19.2345,21.0,65,98,6.34,ZA,1678198801
45,kavaratti,10.5669,72.642,28.05,62,62,1.48,IN,1678199074
46,soyo,-6.1349,12.3689,28.54,67,90,3.4,AO,1678199075
47,qaanaaq,77.484,-69.3632,-10.01,92,96,1.42,GL,1678199076
48,haifa,32.8156,34.9892,19.05,61,20,5.66,IL,1678198801
49,gimli,50.6336,-96.9907,-21.99,71,88,3.09,CA,1678199079
50,saint george,37.1041,-113.5841,4.03,74,100,0.45,US,1678199080
51,portachuelo,-17.35,-63.4,29.5,71,60,5.01,BO,1678199083
52,saint anthony,45.0205,-93.218,0.14,90,100,3.09,US,1678199084
53,khatanga,71.9667,102.5,-35.17,100,84,2.0,RU,1678199085
54,ribeira grande,38.5167,-28.7,18.22,77,20,12.35,PT,1678199086
55,port alfred,-33.5906,26.891,22.32,84,71,1.79,ZA,1678199089
56,mataura,-46.1927,168.8643,13.61,78,95,1.84,NZ,1678199091
57,mahebourg,-20.4081,57.7,27.36,79,33,5.06,MU,1678199093
58,lebu,-37.6167,-73.65,17.28,81,100,2.85,CL,1678199094
59,hot springs,34.5037,-93.0552,15.84,68,20,6.71,US,1678199095
60,port blair,11.6667,92.75,28.02,74,40,2.06,IN,1678199096
61,hilo,19.7297,-155.09,24.6,85,100,0.89,US,1678199097
62,yulara,-25.2406,130.9889,24.22,27,3,8.81,AU,1678199098
63,trelew,-43.249,-65.3051,19.34,31,0,1.8,AR,1678199100
64,bluff,-46.6,168.3333,14.98,78,100,5.31,NZ,1678199101
65,kaitangata,-46.2817,169.8464,14.38,75,95,2.03,NZ,1678199102
66,wuxue,29.8506,115.5525,19.92,42,100,0.79,CN,1678199103
67,digoin,46.4812,3.9795,7.29,65,100,1.54,FR,1678199104
68,vila velha,-20.3297,-40.2925,28.97,79,75,4.12,BR,1678198954
69,saint-philippe,-21.3585,55.7679,27.77,86,100,5.59,RE,1678199107
70,sfantu gheorghe,45.8667,25.7833,10.87,48,100,2.98,RO,1678199108
71,bethel,41.3712,-73.414,4.45,42,0,4.12,US,1678199109
72,castro,-24.7911,-50.0119,24.3,62,100,4.58,BR,1678199110
73,bredasdorp,-34.5322,20.0403,20.74,68,100,9.08,ZA,1678199111
74,taltal,-25.4,-70.4833,22.71,71,1,2.19,CL,1678199113
75,port-cartier,50.0334,-66.8654,3.19,98,100,3.44,CA,1678199114
76,hobart,-42.8794,147.3294,9.59,74,50,6.69,AU,1678199115
77,bambous virieux,-20.3428,57.7575,27.34,80,32,5.03,MU,1678199116
78,airai,-8.9266,125.4092,16.37,93,100,0.33,TL,1678199117
79,imeni poliny osipenko,52.4201,136.4853,-20.17,100,90,1.68,RU,1678199118
80,bengkulu,-3.8004,102.2655,25.44,83,100,1.5,ID,1678199119
81,lazaro cardenas,17.9583,-102.2,23.25,79,97,1.5,MX,1678199121
82,chuy,-33.6971,-53.4616,26.73,74,41,4.11,UY,1678199122
83,hun,29.1268,15.9477,28.0,12,0,4.7,LY,1678199123
84,ugoofaaru,5.6667,73.0,27.42,80,3,7.63,MV,1678199124
85,necochea,-38.5473,-58.7368,25.44,60,79,5.78,AR,1678199040
86,francistown,-21.17,27.5079,31.43,37,36,8.25,BW,1678199127
87,hailar,49.2,119.7,-16.25,100,92,2.18,CN,1678199128
88,albany,42.6001,-73.9662,0.2,54,33,1.79,US,1678198837
89,guerrero negro,27.9769,-114.0611,13.42,77,100,8.06,MX,1678199130
90,kerewan,13.4898,-16.0888,40.52,6,86,5.98,GM,1678199131
91,thompson,55.7435,-97.8558,-29.91,76,0,0.0,CA,1678199133
92,yarmouth,41.7057,-70.2286,4.08,59,0,8.05,US,1678199134
93,yellowknife,62.456,-114.3525,-25.25,70,20,5.14,CA,1678199135
94,kloulklubed,7.0419,134.2556,24.28,79,100,6.36,PW,1678199136
95,coahuayana,18.7333,-103.6833,20.83,84,97,1.27,MX,1678199137
96,hithadhoo,-0.6,73.0833,28.39,70,47,3.06,MV,1678199138
97,muros,42.7762,-9.0603,16.72,72,100,7.94,ES,1678199134
98,lujan,-34.5703,-59.105,30.63,54,82,1.79,AR,1678199141
99,piranhas,-16.4269,-51.8222,27.97,75,2,2.49,BR,1678199142
100,pochutla,15.7432,-96.4661,26.01,60,100,0.46,MX,1678199143
101,fort wellington,6.4,-57.6,27.45,68,99,4.35,GY,1678199144
102,pakxan,18.3778,103.6601,26.08,45,14,1.12,LA,1678199145
103,flinders,-34.5833,150.8552,21.32,68,0,0.89,AU,1678199147
104,tilichiki,60.4667,166.1,-6.54,96,100,2.71,RU,1678199148
105,bubaque,11.2833,-15.8333,24.98,61,100,2.54,GW,1678199149
106,la ronge,55.1001,-105.2842,-27.86,69,87,1.03,CA,1678199150
107,ngawi,-7.4038,111.4461,24.12,91,77,1.63,ID,1678199151
108,georgetown,5.4112,100.3354,28.97,74,20,1.54,MY,1678199144
109,porto belo,-27.1578,-48.5531,27.27,82,100,1.94,BR,1678199154
110,cidreira,-30.1811,-50.2056,25.97,74,19,1.77,BR,1678199155
111,edd,13.9297,41.6925,34.09,28,5,10.83,ER,1678199157
112,saldanha,-33.0117,17.9442,20.01,72,100,5.14,ZA,1678199158
113,arraial do cabo,-22.9661,-42.0278,29.92,66,0,9.26,BR,1678199159
114,husavik,66.0449,-17.3389,-7.63,84,100,11.55,IS,1678199160
115,kodiak,57.79,-152.4072,-1.27,86,0,4.63,US,1678199163
116,nantucket,41.2835,-70.0995,4.08,57,0,5.66,US,1678199164
117,charters towers,-20.1,146.2667,22.82,92,98,4.32,AU,1678199165
118,anloga,5.7947,0.8973,29.33,65,100,5.2,GH,1678199166
119,valparaiso,-33.0393,-71.6273,19.44,90,100,4.63,CL,1678199148
120,tres arroyos,-38.3739,-60.2798,22.84,65,98,3.19,AR,1678199092
121,bassano,50.7834,-112.4685,-17.98,100,100,1.2,CA,1678199170
122,nikolskoye,59.7035,30.7861,-5.05,84,95,1.03,RU,1678199171
123,namibe,-15.1961,12.1522,25.37,65,16,5.58,AO,1678199172
124,mar del plata,-38.0023,-57.5575,27.68,75,75,5.14,AR,1678199064
125,hobyo,5.3505,48.5268,27.12,70,93,8.2,SO,1678199174
126,christchurch,-43.5333,172.6333,16.06,90,91,3.6,NZ,1678199151
127,oksfjord,70.2396,22.3479,-6.9,86,83,3.93,NO,1678199177
128,codo,-4.4553,-43.8856,31.35,56,26,2.77,BR,1678199178
129,ramsar,36.9226,50.6426,8.69,100,100,1.03,IR,1678199179
130,norman wells,65.282,-126.8329,-29.98,76,20,2.06,CA,1678199180
131,barrow,71.2906,-156.7887,-4.99,86,100,3.09,US,1678199182
132,manjacaze,-24.7117,33.8828,26.23,65,11,4.5,MZ,1678199183
133,severo-kurilsk,50.6789,156.125,-2.05,94,100,2.55,RU,1678199184
134,formosa do rio preto,-11.0483,-45.1931,32.62,39,36,3.68,BR,1678199185
135,waipawa,-41.4122,175.5153,10.63,89,15,2.53,NZ,1678199186
136,derzhavinsk,51.1,66.3167,1.26,98,100,11.81,KZ,1678199188
137,upernavik,72.7868,-56.1549,-10.17,96,96,4.97,GL,1678199189
138,kununurra,-15.7667,128.7333,26.99,83,14,2.57,AU,1678199190
139,iqaluit,63.7506,-68.5145,-9.15,85,20,0.0,CA,1678199191
140,erenhot,43.6475,111.9767,3.94,37,6,3.66,CN,1678199192
141,lorengau,-2.0226,147.2712,25.27,83,100,2.59,PG,1678199193
142,lokoja,7.8024,6.743,38.45,30,97,1.2,NG,1678199195
143,college,64.8569,-147.8028,-5.01,86,75,0.0,US,1678199196
144,zhigansk,66.7697,123.3711,-34.77,100,40,2.22,RU,1678199197
145,bonoua,5.2741,-3.595,24.79,67,98,3.24,CI,1678199198
146,coihaique,-45.5752,-72.0662,11.34,50,75,4.12,CL,1678199199
147,swellendam,-34.0226,20.4417,24.53,54,100,5.43,ZA,1678199201
148,harku,59.1325,24.3711,-0.85,83,20,3.09,EE,1678199202
149,torbay,47.6666,-52.7314,-0.79,90,100,7.2,CA,1678199203
150,chokurdakh,70.6333,147.9167,-38.9,100,90,1.41,RU,1678199204
151,zhezkazgan,47.8043,67.7144,2.99,93,75,12.0,KZ,1678199205
152,mackay,-21.15,149.2,25.38,85,73,3.28,AU,1678199206
153,naryan-mar,67.6713,53.087,-21.35,87,99,3.57,RU,1678199208
154,berlevag,70.8578,29.0864,-10.0,73,0,6.17,NO,1678199210
155,dubbo,-32.25,148.6167,14.07,62,0,0.51,AU,1678199211
156,antofagasta,-23.65,-70.4,25.6,72,69,3.36,CL,1678199212
157,qinhuangdao,39.9317,119.5883,8.32,51,44,0.95,CN,1678199214
158,pangkalanbuun,-2.6833,111.6167,23.66,94,31,0.91,ID,1678199215
159,asau,46.4333,26.4,9.6,64,100,3.93,RO,1678199217
160,la paz,-16.5,-68.15,13.99,54,75,1.03,BO,1678199125
161,fonte boa,-2.4959,-66.2662,25.19,91,100,1.34,BR,1678199219
